"year","state","forest_thousands_of_acres"
2007,"Missouri",15078
2007,"Ohio",7894
2007,"Wisconsin",16275
2007,"Florida",16147
2007,"Georgia",24784
2007,"North Carolina",18447
2007,"South Carolina",12746
2007,"Virginia",15766
2007,"Alabama",22693
2007,"Arkansas",18830
2007,"Kentucky",11970
2007,"Louisiana",14222
2007,"Mississippi",19622
2007,"Oklahoma",10156
2007,"Tennessee",14480
2007,"Texas",34763
2007,"Kansas",2106
2007,"Nebraska",1245
2007,"North Dakota",724
2007,"South Dakota",1682
2007,"Arizona",11066
2007,"Colorado",20822
2007,"Idaho",21227
2007,"Montana",24823
2007,"Nevada",8230
2007,"New Mexico",16682
2007,"Utah",11962
2007,"Wyoming",11156
2007,"Alaska",126869
2007,"Oregon",30169
2007,"Washington",22279
2007,"California",32817
2007,"Hawaii",1748
1997,"Connecticut",1863
1997,"Delaware",389
1997,"Maine",17711
1997,"Maryland",2701
1997,"Massachusetts",3264
1997,"New Hampshire",4955
1997,"New Jersey",1991
1997,"New York",18581
1997,"Pennsylvania",16905
1997,"Rhode Island",409
1997,"Vermont",4607
1997,"West Virginia",12108
1997,"Illinois",4294
1997,"Indiana",4501
1997,"Iowa",2050
1997,"Michigan",19335
1997,"Minnesota",16796
1997,"Missouri",14047
1997,"Ohio",7855
1997,"Wisconsin",15963
1997,"Florida",16254
1997,"Georgia",24413
1997,"North Carolina",19298
1997,"South Carolina",12651
1997,"Virginia",16047
1997,"Alabama",21964
1997,"Arkansas",18790
1997,"Kentucky",12684
1997,"Louisiana",13783
1997,"Mississippi",18595
1997,"Oklahoma",9925
1997,"Tennessee",13603
1997,"Texas",33091
1997,"Kansas",1545
1997,"Nebraska",947
1997,"North Dakota",674
1997,"South Dakota",1632
1997,"Arizona",11753
1997,"Colorado",19510
1997,"Idaho",21778
1997,"Montana",23206
1997,"Nevada",7124
1997,"New Mexico",15505
1997,"Utah",11905
1997,"Wyoming",10709
1997,"Alaska",127380
1997,"Oregon",29651
1997,"Washington",21727
1997,"California",33721
1997,"Hawaii",1748
1987,"Connecticut",1815
1987,"Delaware",398
1987,"Maine",17713
1987,"Maryland",2632
1987,"Massachusetts",3097
1987,"New Hampshire",5021
1987,"New Jersey",1985
1987,"New York",18775
1987,"Pennsylvania",16727
1987,"Rhode Island",399
1987,"Vermont",4479
1987,"West Virginia",11942
1987,"Illinois",4266
1987,"Indiana",4439
1987,"Iowa",1562
1987,"Michigan",18220
1987,"Minnesota",16584
1987,"Missouri",12523
1987,"Ohio",7309
1987,"Wisconsin",15319
1987,"Florida",16721
1987,"Georgia",24187
1987,"North Carolina",19280
1987,"South Carolina",12257
1987,"Virginia",16102
1987,"Alabama",21725
1987,"Arkansas",16987
1987,"Kentucky",12256
1987,"Louisiana",13883
1987,"Mississippi",16693
1987,"Oklahoma",11635
1987,"Tennessee",13258
1987,"Texas",38977
1987,"Kansas",1358
1987,"Nebraska",722
1987,"North Dakota",460
1987,"South Dakota",1690
1987,"Arizona",10823
1987,"Colorado",19486
1987,"Idaho",21647
1987,"Montana",21882
1987,"Nevada",6271
1987,"New Mexico",15432
1987,"Utah",11234
1987,"Wyoming",9731
1987,"Alaska",129045
1987,"Oregon",28721
1987,"Washington",22558
1987,"California",30582
1987,"Hawaii",1748
1977,"Connecticut",1861
1977,"Delaware",392
1977,"Maine",17718
1977,"Maryland",2653
1977,"Massachusetts",2952
1977,"New Hampshire",5014
1977,"New Jersey",1928
1977,"New York",18380
1977,"Pennsylvania",16826
1977,"Rhode Island",404
1977,"Vermont",4512
1977,"West Virginia",11669
1977,"Illinois",4151
1977,"Indiana",3943
1977,"Iowa",1561
1977,"Michigan",18691
1977,"Minnesota",16709
1977,"Missouri",12876
1977,"Ohio",7037
1977,"Wisconsin",14908
1977,"Florida",17040
1977,"Georgia",24556
1977,"North Carolina",19913
1977,"South Carolina",12569
1977,"Virginia",16387
1977,"Alabama",21525
1977,"Arkansas",16852
1977,"Kentucky",12161
1977,"Louisiana",14348
1977,"Mississippi",16716
1977,"Oklahoma",11685
1977,"Tennessee",13184
1977,"Texas",38466
1977,"Kansas",1344
1977,"Nebraska",1029
1977,"North Dakota",422
1977,"South Dakota",1702
1977,"Arizona",11362
1977,"Colorado",22271
1977,"Idaho",21727
1977,"Montana",22559
1977,"Nevada",7683
1977,"New Mexico",15360
1977,"Utah",11720
1977,"Wyoming",10028
1977,"Alaska",128000
1977,"Oregon",29810
1977,"Washington",23181
1977,"California",32574
1977,"Hawaii",1986
1963,"Connecticut",1910
1963,"Delaware",392
1963,"Maine",17425
1963,"Maryland",2920
1963,"Massachusetts",3070
1963,"New Hampshire",5019
1963,"New Jersey",2371
1963,"New York",15865
1963,"Pennsylvania",16486
1963,"Rhode Island",434
1963,"Vermont",4230
1963,"West Virginia",11469
1963,"Illinois",4144
1963,"Indiana",4018
1963,"Iowa",2620
1963,"Michigan",19699
1963,"Minnesota",17403
1963,"Missouri",15296
1963,"Ohio",6091
1963,"Wisconsin",14885
1963,"Florida",19050
1963,"Georgia",26365
1963,"North Carolina",20662
1963,"South Carolina",12250
1963,"Virginia",16412
1963,"Alabama",21770
1963,"Arkansas",20051
1963,"Kentucky",11791
1963,"Louisiana",16176
1963,"Mississippi",17076
1963,"Oklahoma",11735
1963,"Tennessee",13629
1963,"Texas",37954
1963,"Kansas",1351
1963,"Nebraska",1162
1963,"North Dakota",439
1963,"South Dakota",1837
1963,"Arizona",11902
1963,"Colorado",19783
1963,"Idaho",21815
1963,"Montana",22048
1963,"Nevada",6000
1963,"New Mexico",15487
1963,"Utah",12205
1963,"Wyoming",9777
1963,"Alaska",128000
1963,"Oregon",30739
1963,"Washington",23050
1963,"California",34541
1963,"Hawaii",1982
1953,"Connecticut",1990
1953,"Delaware",454
1953,"Maine",17088
1953,"Maryland",2920
1953,"Massachusetts",3288
1953,"New Hampshire",4848
1953,"New Jersey",2098
1953,"New York",14450
1953,"Pennsylvania",14805
1953,"Rhode Island",434
1953,"Vermont",3860
1953,"West Virginia",10327
1953,"Illinois",3890
1953,"Indiana",4103
1953,"Iowa",2600
1953,"Michigan",19592
1953,"Minnesota",17826
1953,"Missouri",15177
1953,"Ohio",5500
1953,"Wisconsin",15559
1953,"Florida",20817
1953,"Georgia",24057
1953,"North Carolina",20113
1953,"South Carolina",11943
1953,"Virginia",16032
1953,"Alabama",20771
1953,"Arkansas",19681
1953,"Kentucky",11647
1953,"Louisiana",16230
1953,"Mississippi",16890
1953,"Oklahoma",10329
1953,"Tennessee",13956
1953,"Texas",37708
1953,"Kansas",1668
1953,"Nebraska",903
1953,"North Dakota",473
1953,"South Dakota",2169
1953,"Arizona",11412
1953,"Colorado",19200
1953,"Idaho",21025
1953,"Montana",22330
1953,"Nevada",6500
1953,"New Mexico",15050
1953,"Utah",11219
1953,"Wyoming",10513
1953,"Alaska",128000
1953,"Oregon",30261
1953,"Washington",23868
1953,"California",34078
1953,"Hawaii",2000
1938,"Connecticut",1809
1938,"Delaware",423
1938,"Maine",16036
1938,"Maryland",2595
1938,"Massachusetts",3283
1938,"New Hampshire",4664
1938,"New Jersey",2157
1938,"New York",13321
1938,"Pennsylvania",13945
1938,"Rhode Island",360
1938,"Vermont",3549
1938,"West Virginia",10074
1938,"Illinois",3600
1938,"Indiana",3580
1938,"Iowa",2550
1938,"Michigan",19073
1938,"Minnesota",19615
1938,"Missouri",16200
1938,"Ohio",5110
1938,"Wisconsin",16946
1938,"Florida",21740
1938,"Georgia",21433
1938,"North Carolina",18400
1938,"South Carolina",10704
1938,"Virginia",14832
1938,"Alabama",18878
1938,"Arkansas",20963
1938,"Kentucky",11546
1938,"Louisiana",16211
1938,"Mississippi",16253
1938,"Oklahoma",10415
1938,"Tennessee",13000
1938,"Texas",37949
1938,"Kansas",2408
1938,"Nebraska",1188
1938,"North Dakota",495
1938,"South Dakota",2080
1938,"Arizona",12306
1938,"Colorado",18920
1938,"Idaho",21713
1938,"Montana",22415
1938,"Nevada",7750
1938,"New Mexico",14334
1938,"Utah",11310
1938,"Wyoming",10757
1938,"Alaska",128000
1938,"Oregon",30381
1938,"Washington",24684
1938,"California",35619
1938,"Hawaii",2000
1920,"Connecticut",1526
1920,"Delaware",351
1920,"Maine",14487
1920,"Maryland",2461
1920,"Massachusetts",2794
1920,"New Hampshire",4094
1920,"New Jersey",2069
1920,"New York",12502
1920,"Pennsylvania",12517
1920,"Rhode Island",305
1920,"Vermont",3021
1920,"West Virginia",9041
1920,"Illinois",2997
1920,"Indiana",2989
1920,"Iowa",2079
1920,"Michigan",19109
1920,"Minnesota",19339
1920,"Missouri",15610
1920,"Ohio",4280
1920,"Wisconsin",17449
1920,"Florida",20189
1920,"Georgia",20644
1920,"North Carolina",17889
1920,"South Carolina",10301
1920,"Virginia",14399
1920,"Alabama",18198
1920,"Arkansas",20074
1920,"Kentucky",10636
1920,"Louisiana",16939
1920,"Mississippi",16506
1920,"Oklahoma",9779
1920,"Tennessee",12144
1920,"Texas",32092
1920,"Kansas",2221
1920,"Nebraska",1028
1920,"North Dakota",551
1920,"South Dakota",1905
1920,"Arizona",13579
1920,"Colorado",19074
1920,"Idaho",22428
1920,"Montana",21304
1920,"Nevada",10738
1920,"New Mexico",15119
1920,"Utah",11554
1920,"Wyoming",11508
1920,"Alaska",128000
1920,"Oregon",30282
1920,"Washington",23908
1920,"California",37404
1920,"Hawaii",2000
1907,"Connecticut",1418
1907,"Delaware",370
1907,"Maine",13428
1907,"Maryland",2217
1907,"Massachusetts",1846
1907,"New Hampshire",3302
1907,"New Jersey",1708
1907,"New York",10786
1907,"Pennsylvania",8744
1907,"Rhode Island",226
1907,"Vermont",2527
1907,"West Virginia",7811
1907,"Illinois",3288
1907,"Indiana",5292
1907,"Iowa",2612
1907,"Michigan",15283
1907,"Minnesota",15036
1907,"Missouri",17226
1907,"Ohio",6094
1907,"Wisconsin",15164
1907,"Florida",22918
1907,"Georgia",22729
1907,"North Carolina",19791
1907,"South Carolina",12113
1907,"Virginia",14687
1907,"Alabama",21513
1907,"Arkansas",25405
1907,"Kentucky",12144
1907,"Louisiana",18020
1907,"Mississippi",18968
1907,"Oklahoma",10818
1907,"Tennessee",16476
1907,"Texas",31819
1907,"Kansas",2788
1907,"Nebraska",1472
1907,"North Dakota",355
1907,"South Dakota",2111
1907,"Arizona",12600
1907,"Colorado",20971
1907,"Idaho",21967
1907,"Montana",22095
1907,"Nevada",11657
1907,"New Mexico",14854
1907,"Utah",11305
1907,"Wyoming",10952
1907,"Alaska",128000
1907,"Oregon",31729
1907,"Washington",26834
1907,"California",37404
1907,"Hawaii",2000
1630,"Connecticut",2930
1630,"Delaware",1130
1630,"Maine",18180
1630,"Maryland",5730
1630,"Massachusetts",4630
1630,"New Hampshire",5490
1630,"New Jersey",4330
1630,"New York",27450
1630,"Pennsylvania",27260
1630,"Rhode Island",650
1630,"Vermont",5550
1630,"West Virginia",14610
1630,"Illinois",13805
1630,"Indiana",19520
1630,"Iowa",5340
1630,"Michigan",33110
1630,"Minnesota",31500
1630,"Missouri",26390
1630,"Ohio",23470
1630,"Wisconsin",26520
1630,"Florida",29840
1630,"Georgia",35700
1630,"North Carolina",29630
1630,"South Carolina",17570
1630,"Virginia",24480
1630,"Alabama",29540
1630,"Arkansas",31940
1630,"Kentucky",23140
1630,"Louisiana",26160
1630,"Mississippi",26700
1630,"Oklahoma",13330
1630,"Tennessee",24010
1630,"Texas",41980
1630,"Kansas",1570
1630,"Nebraska",1470
1630,"North Dakota",450
1630,"South Dakota",2480
1630,"Arizona",13070
1630,"Colorado",21440
1630,"Idaho",24130
1630,"Montana",23320
1630,"Nevada",12000
1630,"New Mexico",15680
1630,"Utah",11890
1630,"Wyoming",12490
1630,"Alaska",128000
1630,"Oregon",30590
1630,"Washington",25670
1630,"California",44470
1630,"Hawaii",2200
