"year","state","forest_thousands_of_acres"
2017,"Connecticut",1808
2017,"Delaware",361
2017,"Maine",17579
2017,"Maryland",2463
2017,"Massachusetts",3025
2017,"New Hampshire",4758
2017,"New Jersey",1990
2017,"New York",18887
2017,"Pennsylvania",16898
2017,"Rhode Island",370
2017,"Vermont",4511
2017,"West Virginia",12077
2017,"Illinois",4980
2017,"Indiana",4876
2017,"Iowa",2923
2017,"Michigan",20311
2017,"Minnesota",17413
2017,"Missouri",15409
2017,"Ohio",8077
2017,"Wisconsin",17074
2017,"Florida",17253
2017,"Georgia",24635
2017,"North Carolina",18829
2017,"South Carolina",12931
2017,"Virginia",16043
2017,"Alabama",23127
2017,"Arkansas",19040
2017,"Kentucky",12442
2017,"Louisiana",14984
2017,"Mississippi",19380
2017,"Oklahoma",11911
2017,"Tennessee",13967
2017,"Texas",40970
2017,"Kansas",2527
2017,"Nebraska",1532
2017,"North Dakota",789
2017,"South Dakota",1949
2017,"Arizona",10934
2017,"Colorado",20063
2017,"Idaho",21386
2017,"Montana",25517
2017,"Nevada",7487
2017,"New Mexico",16619
2017,"Utah",12087
2017,"Wyoming",9751
2017,"Alaska",128735
2017,"Oregon",29653
2017,"Washington",22174
2017,"California",31515
2017,"Hawaii",1471
2012,"Connecticut",1712
2012,"Delaware",340
2012,"Maine",17660
2012,"Maryland",2461
2012,"Massachusetts",3024
2012,"New Hampshire",4832
2012,"New Jersey",1964
2012,"New York",18966
2012,"Pennsylvania",16782
2012,"Rhode Island",360
2012,"Vermont",4591
2012,"West Virginia",12155
2012,"Illinois",4848
2012,"Indiana",4830
2012,"Iowa",3014
2012,"Michigan",20127
2012,"Minnesota",17371
2012,"Missouri",15472
2012,"Ohio",8088
2012,"Wisconsin",16980
2012,"Florida",17461
2012,"Georgia",24768
2012,"North Carolina",18588
2012,"South Carolina",13120
2012,"Virginia",15907
2012,"Alabama",22877
2012,"Arkansas",18755
2012,"Kentucky",12472
2012,"Louisiana",14712
2012,"Mississippi",19542
2012,"Oklahoma",12256
2012,"Tennessee",13942
2012,"Texas",40318
2012,"Kansas",2502
2012,"Nebraska",1576
2012,"North Dakota",734
2012,"South Dakota",1911
2012,"Arizona",10795
2012,"Colorado",19995
2012,"Idaho",21247
2012,"Montana",25169
2012,"Nevada",8121
2012,"New Mexico",16615
2012,"Utah",11866
2012,"Wyoming",10807
2012,"Alaska",128577
2012,"Oregon",29787
2012,"Washington",22435
2012,"California",32057
2012,"Hawaii",1748
2007,"Connecticut",1794
2007,"Delaware",383
2007,"Maine",17673
2007,"Maryland",2566
2007,"Massachusetts",3171
2007,"New Hampshire",4850
2007,"New Jersey",2132
2007,"New York",18669
2007,"Pennsylvania",16577
2007,"Rhode Island",356
2007,"Vermont",4618
2007,"West Virginia",12007
2007,"Illinois",4525
2007,"Indiana",4656
2007,"Iowa",2879
2007,"Michigan",19545
2007,"Minnesota",16391
